"","date","Depth","nrecs","MeanTemp","MinTemp","MaxTemp","bin","MeanPDT"
"1",2020-08-28,0,1,14.9,14.9,14.9,1,14.9
"2",2020-08-28,4,44,14.8940909090909,14.86,14.98,2,14.92
"3",2020-08-28,8,128,14.9378125,14.84,14.98,3,14.91
"4",2020-08-28,12,218,14.9545871559633,14.74,15.16,4,14.95
"5",2020-08-28,16,228,14.9185087719298,14.62,15.12,5,14.87
"6",2020-08-28,20,305,14.8247868852459,14.56,15.1,6,14.83
"7",2020-08-28,24,243,14.7871604938272,14.42,15.16,7,14.79
"8",2020-08-28,28,240,14.8226666666667,14.32,15.16,8,14.74
"9",2020-08-28,32,124,14.6532258064516,14.14,15.06,9,14.6
"10",2020-08-28,36,108,14.4838888888889,14,14.78,10,14.39
"11",2020-08-28,40,75,14.2696,13.94,14.68,11,14.31
"12",2020-08-28,44,92,14.1165217391304,13.72,14.5,12,14.11
"13",2020-08-28,48,73,13.9419178082192,13.56,14.32,13,13.94
"14",2020-08-28,52,41,13.800487804878,13.34,14.16,14,13.75
"15",2020-08-28,56,4,13.485,13.3,13.68,15,13.49
"16",2020-08-28,60,4,13.18,13.02,13.54,16,13.28
"17",2020-08-28,64,3,13.08,12.86,13.48,17,13.17
"18",2020-08-28,68,1,13.24,13.24,13.24,18,13.24
"19",2020-08-29,0,1,14.98,14.98,14.98,1,14.98
"20",2020-08-29,4,327,14.9573088685015,14.68,15.12,2,14.9
"21",2020-08-29,8,404,14.9342079207921,14.68,15.12,3,14.9
"22",2020-08-29,12,333,14.9278678678679,14.68,15.14,4,14.91
"23",2020-08-29,16,307,14.9334201954397,14.68,15.12,5,14.9
"24",2020-08-29,20,262,14.9149618320611,14.68,15.16,6,14.92
"25",2020-08-29,24,177,14.8875706214689,14.56,15.12,7,14.84
"26",2020-08-29,28,236,14.8133898305085,14.2,15.14,8,14.67
"27",2020-08-29,32,443,14.7044695259594,13.72,15.1,9,14.41
"28",2020-08-29,36,484,14.4355371900826,13.26,15.04,10,14.15
"29",2020-08-29,40,363,13.9274931129477,12.78,14.98,11,13.88
"30",2020-08-29,44,242,13.3919008264463,12.02,14.92,12,13.47
"31",2020-08-29,48,146,13.2275342465753,11.76,14.74,13,13.25
"32",2020-08-29,52,108,12.7172222222222,11.46,14.72,14,13.09
"33",2020-08-29,56,92,12.3834782608696,11.5,13.72,15,12.61
"34",2020-08-29,60,92,12.1526086956522,10.98,13.48,16,12.23
"35",2020-08-29,64,89,11.9892134831461,10.98,13.24,17,12.11
"36",2020-08-29,68,43,11.7623255813953,10.94,12.96,18,11.95
"37",2020-08-29,72,36,11.7194444444444,10.84,12.96,19,11.9
"38",2020-08-29,76,16,11.3325,10.74,11.96,20,11.35
"39",2020-08-29,80,20,11.228,10.72,11.84,21,11.28
"40",2020-08-29,84,13,11.0384615384615,10.66,11.66,22,11.16
"41",2020-08-29,88,5,11.016,10.94,11.16,23,11.05
"42",2020-08-29,92,11,10.92,10.66,11.02,24,10.84
"43",2020-08-29,96,41,10.9487804878049,10.5,11,25,10.75
"44",2020-08-29,100,3,10.7,10.66,10.76,26,10.71
"45",2020-08-29,104,4,10.595,10.42,10.68,27,10.55
"46",2020-08-29,108,3,10.6266666666667,10.56,10.66,28,10.61
"47",2020-08-29,112,5,10.576,10.36,10.68,29,10.52
"48",2020-08-29,116,1,10.68,10.68,10.68,30,10.68
"49",2020-08-29,120,3,10.4866666666667,10.34,10.66,31,10.5
"50",2020-08-29,124,1,10.42,10.42,10.42,32,10.42
"51",2020-08-29,128,1,10.34,10.34,10.34,33,10.34
"52",2020-08-29,132,2,10.35,10.3,10.4,34,10.35
"53",2020-08-29,136,2,10.32,10.3,10.34,35,10.32
"54",2020-08-29,140,2,10.32,10.28,10.36,36,10.32
"55",2020-08-29,144,2,10.32,10.3,10.34,37,10.32
"56",2020-08-30,0,2,14.82,14.82,14.82,1,14.82
"57",2020-08-30,4,567,14.7267372134039,14.48,14.98,2,14.73
"58",2020-08-30,8,457,14.7329102844639,14.48,14.98,3,14.73
"59",2020-08-30,12,389,14.701233933162,14.48,14.98,4,14.73
"60",2020-08-30,16,317,14.6805047318612,14.48,14.98,5,14.73
"61",2020-08-30,20,335,14.6300895522388,14.26,14.98,6,14.62
"62",2020-08-30,24,310,14.6011612903226,13.82,14.96,7,14.39
"63",2020-08-30,28,430,14.6097209302326,13.46,14.96,8,14.21
"64",2020-08-30,32,589,14.6319185059423,12.8,14.94,9,13.87
"65",2020-08-30,36,452,14.5961946902655,12.52,14.94,10,13.73
"66",2020-08-30,40,260,14.5379230769231,12.04,14.92,11,13.48
"67",2020-08-30,44,87,14.164367816092,11.96,14.9,12,13.43
"68",2020-08-30,48,20,13.302,11.88,14.58,13,13.23
"69",2020-08-30,52,16,12.635,11.66,13.98,14,12.82
"70",2020-08-30,56,13,12.3753846153846,11.48,13.2,15,12.34
"71",2020-08-30,60,9,12.3933333333333,11.34,13.22,16,12.28
"72",2020-08-30,64,6,11.76,11.16,12.64,17,11.9
"73",2020-08-30,68,2,11.73,11.22,12.24,18,11.73
"74",2020-08-30,72,3,10.9866666666667,10.92,11.02,19,10.97
"75",2020-08-30,76,1,11.04,11.04,11.04,20,11.04
"76",2020-08-30,80,4,10.89,10.8,10.94,21,10.87
"77",2020-08-30,84,2,10.89,10.84,10.94,22,10.89
"78",2020-08-30,88,6,10.8066666666667,10.7,11,23,10.85
"79",2020-08-30,92,3,10.7266666666667,10.7,10.76,24,10.73
"80",2020-08-30,96,2,10.7,10.68,10.72,25,10.7
"81",2020-08-30,100,6,10.6633333333333,10.54,10.72,26,10.63
"82",2020-08-30,104,4,10.65,10.62,10.68,27,10.65
"83",2020-08-30,108,2,10.59,10.54,10.64,28,10.59
"84",2020-08-30,112,4,10.515,10.46,10.56,29,10.51
"85",2020-08-30,120,2,10.49,10.46,10.52,30,10.49
