PDT Number,using backup body themistor,Date & Time of PDT,Depth (m),Minimum Temperature ,Maximum Temperature,Mean Temperature,Delta Temperature,repeats
113,n/a,9/18/2003 6:00,0,16,21.2,18.6,2.6,1
113,n/a,9/18/2003 6:00,0,16,21.2,18.6,2.6,1
113,n/a,9/18/2003 6:00,0,16,21.2,18.6,2.6,1
113,n/a,9/18/2003 6:00,0,16,21.2,18.6,2.6,1
113,n/a,9/18/2003 6:00,,,,,,
113,n/a,9/18/2003 6:00,,,,,,
113,n/a,9/18/2003 6:00,,,,,,
113,n/a,9/18/2003 6:00,,,,,,
114,n/a,9/19/2003 6:00,,,,,,
114,n/a,9/19/2003 6:00,,,,,,
114,n/a,9/19/2003 6:00,,,,,,
114,n/a,9/19/2003 6:00,,,,,,
114,n/a,9/19/2003 6:00,0,16,21.2,18.6,2.6,1
114,n/a,9/19/2003 6:00,0,16,21.2,18.6,2.6,1
114,n/a,9/19/2003 6:00,0,16,21.2,18.6,2.6,1
114,n/a,9/19/2003 6:00,0,13.6,20.6,17.1,3.5,1
115,n/a,9/19/2003 18:00,,,,,,
115,n/a,9/19/2003 18:00,,,,,,
115,n/a,9/19/2003 18:00,,,,,,
115,n/a,9/19/2003 18:00,,,,,,
115,n/a,9/19/2003 18:00,0,13.6,20.6,17.1,3.5,1
115,n/a,9/19/2003 18:00,0,13.6,20.6,17.1,3.5,1
115,n/a,9/19/2003 18:00,0,13.6,20.6,17.1,3.5,1
115,n/a,9/19/2003 18:00,0,13,20.4,16.7,3.7,1
116,n/a,9/20/2003 6:00,,,,,,
116,n/a,9/20/2003 6:00,,,,,,
116,n/a,9/20/2003 6:00,,,,,,
116,n/a,9/20/2003 6:00,,,,,,
116,n/a,9/20/2003 6:00,0,13,20.4,16.7,3.7,1
116,n/a,9/20/2003 6:00,0,13,20.4,16.7,3.7,1
116,n/a,9/20/2003 6:00,0,13,20.4,16.7,3.7,1
116,n/a,9/20/2003 6:00,0,13.8,25,19.4,5.6,1
117,n/a,9/20/2003 18:00,0,15.6,17.2,16.4,0.8000002,1
117,n/a,9/20/2003 18:00,8,15.4,15.8,15.6,0.2000003,1
117,n/a,9/20/2003 18:00,20,15.4,15.8,15.6,0.2000003,1
117,n/a,9/20/2003 18:00,24,15.4,15.8,15.6,0.2000003,1
117,n/a,9/20/2003 18:00,36,15.2,15.6,15.4,0.2,1
117,n/a,9/20/2003 18:00,40,15.4,15.6,15.5,0.1,1
117,n/a,9/20/2003 18:00,52,15,15.6,15.3,0.3,1
117,n/a,9/20/2003 18:00,60,15.4,15.6,15.5,0.1,1
118,n/a,9/21/2003 6:00,0,15.4,15.6,15.5,0.1000004,1
118,n/a,9/21/2003 6:00,4,15.4,15.6,15.5,0.1000004,1
118,n/a,9/21/2003 6:00,12,15.4,15.6,15.5,0.1000004,1
118,n/a,9/21/2003 6:00,24,15,15.6,15.3,0.3000002,1
118,n/a,9/21/2003 6:00,28,15,15.6,15.3,0.3,1
118,n/a,9/21/2003 6:00,36,14.6,15.6,15.1,0.5,1
118,n/a,9/21/2003 6:00,40,14.6,15.6,15.1,0.5,1
118,n/a,9/21/2003 6:00,48,15.4,15.4,15.4,0,1
119,n/a,9/24/2003 18:00,0,15.2,15.4,15.3,0.0999999,1
119,n/a,9/24/2003 18:00,8,15.2,15.4,15.3,0.0999999,1
119,n/a,9/24/2003 18:00,12,15.2,15.4,15.3,0.0999999,1
119,n/a,9/24/2003 18:00,20,15.2,15.4,15.3,0.0999999,1
119,n/a,9/24/2003 18:00,28,15.2,15.4,15.3,0.1,1
119,n/a,9/24/2003 18:00,32,15.2,15.4,15.3,0.1,1
119,n/a,9/24/2003 18:00,40,15.2,15.4,15.3,0.1,1
119,n/a,9/24/2003 18:00,48,15.2,15.4,15.3,0.1,1
120,n/a,9/25/2003 18:00,0,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,4,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,8,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,12,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,16,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,20,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,24,15.4,15.4,15.4,0,1
120,n/a,9/25/2003 18:00,28,15.4,15.4,15.4,0,1
121,n/a,9/26/2003 6:00,0,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,0,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,4,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,8,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,8,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,12,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,12,15.4,15.4,15.4,0,2
121,n/a,9/26/2003 6:00,16,15.4,15.4,15.4,0,2
122,n/a,9/28/2003 6:00,0,15.2,15.2,15.2,0,1
122,n/a,9/28/2003 6:00,4,15.2,15.4,15.3,0.0999999,1
122,n/a,9/28/2003 6:00,8,15.2,15.2,15.2,0,1
122,n/a,9/28/2003 6:00,12,15.2,15.2,15.2,0,1
122,n/a,9/28/2003 6:00,16,15.2,15.2,15.2,0,1
122,n/a,9/28/2003 6:00,20,15.2,15.2,15.2,0,1
122,n/a,9/28/2003 6:00,24,15.2,15.2,15.2,0,1
122,n/a,9/28/2003 6:00,28,15.2,15.2,15.2,0,1
123,n/a,9/29/2003 6:00,0,14.8,15.2,15,0.1999998,1
123,n/a,9/29/2003 6:00,4,14.8,15.2,15,0.1999998,1
123,n/a,9/29/2003 6:00,8,14.8,15.2,15,0.1999998,1
123,n/a,9/29/2003 6:00,16,14.8,15.2,15,0.1999998,1
123,n/a,9/29/2003 6:00,20,14.8,15.2,15,0.2,1
123,n/a,9/29/2003 6:00,24,14.8,15.2,15,0.2,1
123,n/a,9/29/2003 6:00,32,14.8,14.8,14.8,0,1
123,n/a,9/29/2003 6:00,36,14.8,15,14.9,0.1,1
124,n/a,9/29/2003 18:00,0,15,15.2,15.1,0.0999999,1
124,n/a,9/29/2003 18:00,4,15,15.2,15.1,0.0999999,1
124,n/a,9/29/2003 18:00,8,15,15.2,15.1,0.0999999,1
124,n/a,9/29/2003 18:00,12,15,15.2,15.1,0.0999999,1
124,n/a,9/29/2003 18:00,16,15,15.2,15.1,0.1,1
124,n/a,9/29/2003 18:00,20,15,15.2,15.1,0.1,1
124,n/a,9/29/2003 18:00,24,15.2,15.2,15.2,0,1
124,n/a,9/29/2003 18:00,28,15.2,15.2,15.2,0,1
125,n/a,9/30/2003 6:00,0,15.2,15.2,15.2,0,1
125,n/a,9/30/2003 6:00,4,15.2,15.2,15.2,0,1
125,n/a,9/30/2003 6:00,4,15.2,15.2,15.2,0,1
125,n/a,9/30/2003 6:00,8,15.2,15.2,15.2,0,1
125,n/a,9/30/2003 6:00,,,,,,
125,n/a,9/30/2003 6:00,,,,,,
125,n/a,9/30/2003 6:00,,,,,,
125,n/a,9/30/2003 6:00,,,,,,
126,n/a,9/30/2003 18:00,0,15,15.2,15.1,0.0999999,1
126,n/a,9/30/2003 18:00,4,15,15.2,15.1,0.0999999,1
126,n/a,9/30/2003 18:00,8,15,15.2,15.1,0.0999999,1
126,n/a,9/30/2003 18:00,12,15,15.2,15.1,0.0999999,1
126,n/a,9/30/2003 18:00,16,15,15.2,15.1,0.1,1
126,n/a,9/30/2003 18:00,20,15,15.2,15.1,0.1,1
126,n/a,9/30/2003 18:00,24,15,15.2,15.1,0.1,1
126,n/a,9/30/2003 18:00,28,15.2,15.2,15.2,0,1
127,n/a,10/4/2003 18:00,0,14.6,15,14.8,0.1999998,1
127,n/a,10/4/2003 18:00,4,14.6,15,14.8,0.1999998,1
127,n/a,10/4/2003 18:00,16,14.6,15,14.8,0.1999998,1
127,n/a,10/4/2003 18:00,20,14.6,15,14.8,0.1999998,1
127,n/a,10/4/2003 18:00,28,14.8,15,14.9,0.1,1
127,n/a,10/4/2003 18:00,32,14.8,14.8,14.8,0,1
127,n/a,10/4/2003 18:00,32,14.8,14.8,14.8,0,1
127,n/a,10/4/2003 18:00,48,14.6,14.6,14.6,0,1
128,n/a,10/5/2003 18:00,0,14.6,14.8,14.7,0.0999999,2
