pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/15/2018 00:00:00,0.000000,12.00,13.00,12.5,99999,99999
1,junk,10/15/2018 00:00:00,8.000000,12.00,13.00,12.5,99999,99999
1,junk,10/15/2018 00:00:00,24.000000,12.00,13.20,12.6,99999,99999
1,junk,10/15/2018 00:00:00,40.000000,12.00,13.20,12.6,99999,99999
1,junk,10/15/2018 00:00:00,56.000000,12.00,13.20,12.6,99999,99999
1,junk,10/15/2018 00:00:00,72.000000,12.00,13.20,12.6,99999,99999
1,junk,10/15/2018 00:00:00,88.000000,12.00,13.00,12.5,99999,99999
2,junk,10/16/2018 00:00:00,0.000000,12.00,12.40,12.2,99999,99999
2,junk,10/16/2018 00:00:00,8.000000,12.00,12.40,12.2,99999,99999
2,junk,10/16/2018 00:00:00,24.000000,12.20,12.40,12.3,99999,99999
2,junk,10/16/2018 00:00:00,40.000000,12.20,12.40,12.3,99999,99999
2,junk,10/16/2018 00:00:00,56.000000,12.20,12.40,12.3,99999,99999
2,junk,10/16/2018 00:00:00,72.000000,12.20,12.40,12.3,99999,99999
2,junk,10/16/2018 00:00:00,88.000000,12.00,12.20,12.1,99999,99999
3,junk,10/17/2018 00:00:00,0.000000,12.20,13.00,12.6,99999,99999
3,junk,10/17/2018 00:00:00,8.000000,12.20,13.00,12.6,99999,99999
3,junk,10/17/2018 00:00:00,40.000000,12.20,13.00,12.6,99999,99999
3,junk,10/17/2018 00:00:00,72.000000,11.80,12.80,12.3,99999,99999
3,junk,10/17/2018 00:00:00,104.000000,11.40,12.60,12.0,99999,99999
3,junk,10/17/2018 00:00:00,144.000000,11.20,11.80,11.5,99999,99999
3,junk,10/17/2018 00:00:00,192.000000,11.00,11.20,11.1,99999,99999
3,junk,10/17/2018 00:00:00,208.000000,11.00,11.00,11.0,99999,99999
4,junk,10/18/2018 00:00:00,0.000000,12.60,13.20,12.899999999999999,99999,99999
4,junk,10/18/2018 00:00:00,8.000000,12.60,13.20,12.899999999999999,99999,99999
4,junk,10/18/2018 00:00:00,24.000000,12.60,13.20,12.899999999999999,99999,99999
4,junk,10/18/2018 00:00:00,48.000000,12.60,13.20,12.899999999999999,99999,99999
4,junk,10/18/2018 00:00:00,64.000000,12.60,13.20,12.899999999999999,99999,99999
4,junk,10/18/2018 00:00:00,80.000000,12.20,13.00,12.6,99999,99999
4,junk,10/18/2018 00:00:00,104.000000,12.20,12.80,12.5,99999,99999
4,junk,10/18/2018 00:00:00,128.000000,12.20,12.20,12.2,99999,99999
5,junk,10/19/2018 00:00:00,0.000000,13.00,13.60,13.3,99999,99999
5,junk,10/19/2018 00:00:00,8.000000,13.00,13.60,13.3,99999,99999
5,junk,10/19/2018 00:00:00,40.000000,13.00,13.60,13.3,99999,99999
5,junk,10/19/2018 00:00:00,72.000000,12.20,13.40,12.8,99999,99999
5,junk,10/19/2018 00:00:00,104.000000,11.80,12.60,12.2,99999,99999
5,junk,10/19/2018 00:00:00,128.000000,11.60,11.80,11.7,99999,99999
5,junk,10/19/2018 00:00:00,184.000000,11.20,11.40,11.3,99999,99999
5,junk,10/19/2018 00:00:00,200.000000,11.00,11.00,11.0,99999,99999
6,junk,10/20/2018 00:00:00,0.000000,13.00,13.60,13.3,99999,99999
6,junk,10/20/2018 00:00:00,32.000000,13.00,13.60,13.3,99999,99999
6,junk,10/20/2018 00:00:00,112.000000,11.60,12.20,11.899999999999999,99999,99999
6,junk,10/20/2018 00:00:00,176.000000,11.00,11.60,11.3,99999,99999
6,junk,10/20/2018 00:00:00,288.000000,10.20,10.20,10.2,99999,99999
6,junk,10/20/2018 00:00:00,336.000000,10.00,10.20,10.1,99999,99999
6,junk,10/20/2018 00:00:00,392.000000,9.60,9.80,9.7,99999,99999
6,junk,10/20/2018 00:00:00,456.000000,9.20,9.20,9.2,99999,99999
7,junk,10/21/2018 00:00:00,0.000000,13.00,14.00,13.5,99999,99999
7,junk,10/21/2018 00:00:00,16.000000,13.00,14.00,13.5,99999,99999
7,junk,10/21/2018 00:00:00,56.000000,13.00,14.00,13.5,99999,99999
7,junk,10/21/2018 00:00:00,136.000000,12.20,12.40,12.3,99999,99999
7,junk,10/21/2018 00:00:00,144.000000,12.00,12.40,12.2,99999,99999
7,junk,10/21/2018 00:00:00,192.000000,11.80,12.00,11.9,99999,99999
7,junk,10/21/2018 00:00:00,248.000000,11.60,11.60,11.6,99999,99999
7,junk,10/21/2018 00:00:00,288.000000,11.40,11.40,11.4,99999,99999
8,junk,10/22/2018 00:00:00,0.000000,13.60,14.00,13.8,99999,99999
8,junk,10/22/2018 00:00:00,16.000000,13.60,13.80,13.7,99999,99999
8,junk,10/22/2018 00:00:00,56.000000,13.60,13.80,13.7,99999,99999
8,junk,10/22/2018 00:00:00,96.000000,12.00,13.60,12.8,99999,99999
8,junk,10/22/2018 00:00:00,152.000000,11.40,12.20,11.8,99999,99999
8,junk,10/22/2018 00:00:00,192.000000,11.20,12.00,11.6,99999,99999
8,junk,10/22/2018 00:00:00,232.000000,11.00,11.80,11.4,99999,99999
8,junk,10/22/2018 00:00:00,280.000000,11.20,11.20,11.2,99999,99999
9,junk,10/23/2018 00:00:00,0.000000,13.40,14.00,13.7,99999,99999
9,junk,10/23/2018 00:00:00,24.000000,13.20,14.20,13.7,99999,99999
9,junk,10/23/2018 00:00:00,72.000000,12.60,14.00,13.3,99999,99999
9,junk,10/23/2018 00:00:00,144.000000,11.00,12.60,11.8,99999,99999
9,junk,10/23/2018 00:00:00,168.000000,10.80,12.40,11.600000000000001,99999,99999
9,junk,10/23/2018 00:00:00,224.000000,11.60,12.00,11.8,99999,99999
9,junk,10/23/2018 00:00:00,304.000000,11.00,11.20,11.1,99999,99999
9,junk,10/23/2018 00:00:00,328.000000,11.00,11.00,11.0,99999,99999
10,junk,10/24/2018 00:00:00,0.000000,13.40,14.40,13.9,99999,99999
10,junk,10/24/2018 00:00:00,24.000000,13.40,14.40,13.9,99999,99999
10,junk,10/24/2018 00:00:00,80.000000,12.60,14.40,13.5,99999,99999
10,junk,10/24/2018 00:00:00,168.000000,11.00,12.60,11.8,99999,99999
10,junk,10/24/2018 00:00:00,200.000000,11.00,12.40,11.7,99999,99999
10,junk,10/24/2018 00:00:00,280.000000,10.40,12.00,11.2,99999,99999
10,junk,10/24/2018 00:00:00,312.000000,10.20,10.80,10.5,99999,99999
10,junk,10/24/2018 00:00:00,376.000000,10.20,10.40,10.3,99999,99999
11,junk,10/25/2018 00:00:00,0.000000,14.20,14.80,14.5,99999,99999
11,junk,10/25/2018 00:00:00,56.000000,14.20,14.80,14.5,99999,99999
11,junk,10/25/2018 00:00:00,72.000000,14.00,14.60,14.3,99999,99999
11,junk,10/25/2018 00:00:00,128.000000,12.40,14.00,13.2,99999,99999
11,junk,10/25/2018 00:00:00,184.000000,12.00,12.60,12.3,99999,99999
11,junk,10/25/2018 00:00:00,264.000000,11.60,11.60,11.6,99999,99999
11,junk,10/25/2018 00:00:00,288.000000,11.40,11.60,11.5,99999,99999
11,junk,10/25/2018 00:00:00,360.000000,10.80,10.80,10.8,99999,99999
12,junk,10/26/2018 00:00:00,0.000000,14.40,15.20,14.8,99999,99999
12,junk,10/26/2018 00:00:00,40.000000,14.40,15.20,14.8,99999,99999
